DataConsumo,Filial,Cliente,TipoEstabelecimento,Estado,Produto,Fornecedor,Volumes,Quantidade
2024-10-07,5.0,144236,35,41.0,4339.0,80047,1.0,6.0
2024-10-16,4.0,137011,72,41.0,8733.0,80047,20.0,240.0
2024-10-19,4.0,105287,34,41.0,8815.0,80047,0.083,1.0
2024-10-09,3.0,178558,84,41.0,9636.0,80047,0.333,4.0
2024-10-09,5.0,163725,93,41.0,9636.0,80047,0.25,3.0
2024-10-09,5.0,160501,41,41.0,9636.0,80047,0.083,1.0
2024-10-11,5.0,136682,71,41.0,9636.0,80047,0.166,2.0
2024-10-03,5.0,147498,34,41.0,9636.0,80047,0.083,1.0
2024-10-03,3.0,150213,41,41.0,9636.0,80047,0.166,2.0
2024-10-03,3.0,145642,73,41.0,9636.0,80047,1.0,12.0
2024-10-04,5.0,174711,41,41.0,9636.0,80047,0.166,2.0
2024-10-16,3.0,174303,39,41.0,9636.0,80047,1.0,12.0
2024-10-09,4.0,42540,41,41.0,9636.0,80047,0.083,1.0
2024-10-10,4.0,3673,84,41.0,9636.0,80047,0.166,2.0
2024-10-10,4.0,2174,84,41.0,9636.0,80047,0.083,1.0
2024-10-10,4.0,178282,39,41.0,9636.0,80047,0.333,4.0
2024-10-10,4.0,107457,33,41.0,9636.0,80047,0.166,2.0
2024-10-10,4.0,6540,34,41.0,9636.0,80047,0.166,2.0
2024-10-15,4.0,2059,41,41.0,9636.0,80047,0.083,1.0
2024-10-16,4.0,27611,81,41.0,9636.0,80047,0.083,1.0
2024-10-17,4.0,102605,34,41.0,9636.0,80047,0.083,1.0
2024-10-01,4.0,154330,72,41.0,9636.0,80047,0.166,2.0
2024-10-02,4.0,136328,24,41.0,9636.0,80047,0.166,2.0
2024-10-02,4.0,133659,36,41.0,9636.0,80047,0.25,3.0
2024-10-08,4.0,146163,41,41.0,9636.0,80047,0.083,1.0
2024-10-03,4.0,20076,34,41.0,9636.0,80047,0.166,2.0
2024-10-03,4.0,170498,72,41.0,9636.0,80047,0.166,2.0
2024-10-03,4.0,149887,61,41.0,9636.0,80047,0.166,2.0
2024-10-04,4.0,4181,41,41.0,9636.0,80047,0.083,1.0
2024-10-05,4.0,102912,41,41.0,9636.0,80047,0.166,2.0
2024-10-04,4.0,116,41,41.0,9636.0,80047,0.083,1.0
2024-10-04,4.0,20194,41,41.0,9636.0,80047,0.083,1.0
2024-10-04,4.0,20821,41,41.0,9636.0,80047,0.083,1.0
2024-10-04,4.0,369,41,41.0,9636.0,80047,0.083,1.0
2024-10-04,4.0,405,41,41.0,9636.0,80047,0.083,1.0
2024-10-05,4.0,24176,41,41.0,9636.0,80047,0.083,1.0
2024-10-05,4.0,3637,41,41.0,9636.0,80047,0.083,1.0
2024-10-05,4.0,29052,41,41.0,9636.0,80047,0.083,1.0
2024-10-18,6.0,173870,39,42.0,9636.0,80047,0.083,1.0
2024-10-18,6.0,166580,34,42.0,9636.0,80047,0.083,1.0
2024-10-18,6.0,174010,24,42.0,9636.0,80047,0.083,1.0
2024-10-08,6.0,167535,39,42.0,9636.0,80047,0.083,1.0
2024-10-10,6.0,148901,24,42.0,9636.0,80047,0.083,1.0
2024-10-11,6.0,158174,34,42.0,9636.0,80047,0.083,1.0
2024-10-16,6.0,178996,34,42.0,9636.0,80047,0.083,1.0
2024-10-02,3.0,133310,34,41.0,9637.0,80047,0.5,6.0
2024-10-15,5.0,142739,34,41.0,9637.0,80047,5.0,60.0
2024-10-09,6.0,148795,39,42.0,9637.0,80047,1.0,12.0
2024-10-08,5.0,119100,41,41.0,423.0,80047,0.083,1.0
2024-10-11,7.0,159906,41,41.0,423.0,80047,0.25,3.0
2024-10-12,4.0,6953,41,41.0,657.0,80047,0.083,1.0
2024-10-03,4.0,180421,41,41.0,657.0,80047,0.833,10.0
2024-10-04,4.0,120272,41,41.0,657.0,80047,0.083,1.0
2024-10-12,4.0,38463,34,41.0,683.0,80047,0.083,1.0
2024-10-09,6.0,175812,39,42.0,683.0,80047,0.0,1.0
2024-10-09,6.0,166869,34,42.0,683.0,80047,0.25,3.0
2024-10-18,4.0,7641,72,41.0,693.0,80047,0.333,4.0
2024-10-18,4.0,22018,41,41.0,693.0,80047,1.0,12.0
2024-10-18,4.0,6331,72,41.0,693.0,80047,2.0,24.0
2024-10-01,4.0,100622,34,41.0,693.0,80047,0.5,6.0
2024-10-17,4.0,4482,41,41.0,693.0,80047,0.5,6.0
2024-10-11,3.0,166038,24,41.0,693.0,80047,0.333,4.0
2024-10-09,6.0,148795,39,42.0,693.0,80047,1.0,12.0
2024-10-04,6.0,165657,24,42.0,693.0,80047,2.0,24.0
2024-10-14,6.0,178095,41,42.0,693.0,80047,0.333,4.0
2024-10-08,4.0,174249,32,41.0,816.0,80047,0.333,2.0
2024-10-08,4.0,120199,41,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,121827,41,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,123409,42,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,123526,42,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,105248,41,41.0,816.0,80047,0.166,1.0
2024-10-10,6.0,165086,34,42.0,816.0,80047,0.166,1.0
2024-10-18,3.0,168326,42,41.0,816.0,80047,0.166,1.0
2024-10-14,4.0,173918,24,41.0,1522.0,80047,0.166,1.0
2024-10-01,7.0,110358,93,41.0,1522.0,80047,3.333,20.0
2024-10-07,7.0,175183,42,41.0,2503.0,80047,2.0,12.0
2024-10-10,6.0,165945,24,42.0,2805.0,80047,0.083,1.0
2024-10-11,6.0,167181,33,42.0,2805.0,80047,0.083,1.0
2024-10-02,4.0,176452,41,41.0,2805.0,80047,0.166,2.0
2024-10-17,5.0,165060,72,41.0,2805.0,80047,0.0,2.0
2024-10-03,7.0,152998,81,41.0,3423.0,80047,0.666,8.0
2024-10-04,4.0,161941,94,41.0,8733.0,80047,0.166,2.0
2024-10-08,3.0,131115,36,41.0,8733.0,80047,1.0,12.0
2024-10-14,5.0,149699,41,41.0,8815.0,80047,0.083,1.0
2024-10-04,4.0,180765,35,41.0,8889.0,80047,1.0,12.0
2024-10-17,5.0,135511,35,41.0,8889.0,80047,1.0,12.0
2024-10-17,3.0,145067,39,41.0,9636.0,80047,0.25,3.0
2024-10-01,3.0,126018,41,41.0,9636.0,80047,0.5,6.0
2024-10-01,3.0,127348,24,41.0,9636.0,80047,0.166,2.0
2024-10-11,5.0,164441,84,41.0,9636.0,80047,0.25,3.0
2024-10-03,3.0,157601,24,41.0,9636.0,80047,0.333,4.0
2024-10-03,3.0,179805,39,41.0,9636.0,80047,0.166,2.0
2024-10-04,3.0,169311,39,41.0,9636.0,80047,0.5,6.0
2024-10-04,3.0,173607,41,41.0,9636.0,80047,0.083,1.0
2024-10-16,5.0,173544,41,41.0,9636.0,80047,0.166,2.0
2024-10-18,4.0,169570,92,41.0,9636.0,80047,0.5,6.0
2024-10-07,4.0,7180,41,41.0,9636.0,80047,0.083,1.0
2024-10-08,4.0,3972,41,41.0,9636.0,80047,0.166,2.0
2024-10-09,4.0,3545,31,41.0,9636.0,80047,0.166,2.0
2024-10-09,4.0,159767,93,41.0,9636.0,80047,0.083,1.0
2024-10-10,4.0,5553,41,41.0,9636.0,80047,0.083,1.0
2024-10-10,4.0,156962,34,41.0,9636.0,80047,1.0,12.0
2024-10-10,4.0,42151,42,41.0,9636.0,80047,0.166,2.0
2024-10-10,4.0,123930,72,41.0,9636.0,80047,0.166,2.0
2024-10-11,4.0,161941,94,41.0,9636.0,80047,51.416,617.0
2024-10-17,4.0,2301,41,41.0,9636.0,80047,1.0,12.0
2024-10-17,4.0,7116,81,41.0,9636.0,80047,0.083,1.0
2024-10-02,4.0,180845,81,41.0,9636.0,80047,0.083,1.0
2024-10-02,4.0,1575,41,41.0,9636.0,80047,0.333,4.0
2024-10-02,4.0,105003,34,41.0,9636.0,80047,0.166,2.0
2024-10-02,4.0,174391,81,41.0,9636.0,80047,0.666,8.0
2024-10-03,4.0,1597,41,41.0,9636.0,80047,0.0,1.0
2024-10-04,4.0,174366,72,41.0,9636.0,80047,0.0,2.0
2024-10-05,4.0,113604,84,41.0,9636.0,80047,0.166,2.0
2024-10-04,4.0,20231,41,41.0,9636.0,80047,0.083,1.0
2024-10-04,4.0,444,41,41.0,9636.0,80047,0.083,1.0
2024-10-05,4.0,25064,41,41.0,9636.0,80047,0.083,1.0
2024-10-11,6.0,157352,24,42.0,9636.0,80047,0.083,1.0
2024-10-10,6.0,180757,41,42.0,9636.0,80047,0.083,1.0
2024-10-10,6.0,146291,72,42.0,9636.0,80047,0.083,1.0
2024-10-10,6.0,148903,24,42.0,9636.0,80047,0.083,1.0
2024-10-10,6.0,151411,39,42.0,9636.0,80047,0.083,1.0
2024-10-16,6.0,170431,24,42.0,9636.0,80047,0.083,1.0
2024-10-16,6.0,167512,35,42.0,9637.0,80047,0.083,1.0
2024-10-08,4.0,42092,41,41.0,423.0,80047,0.083,1.0
2024-10-08,4.0,42503,41,41.0,423.0,80047,0.083,1.0
2024-10-03,4.0,171076,42,41.0,423.0,80047,0.083,1.0
2024-10-11,6.0,167604,34,42.0,423.0,80047,0.083,1.0
2024-10-15,5.0,136034,36,41.0,552.0,80047,0.416,5.0
2024-10-15,4.0,29204,34,41.0,657.0,80047,0.083,1.0
2024-10-10,4.0,161941,94,41.0,683.0,80047,0.25,3.0
2024-10-17,4.0,5447,72,41.0,683.0,80047,0.083,1.0
2024-10-05,6.0,152328,39,42.0,683.0,80047,0.083,1.0
2024-10-01,4.0,20465,71,41.0,693.0,80047,0.0,12.0
2024-10-02,4.0,5139,72,41.0,693.0,80047,0.083,1.0
2024-10-08,4.0,2060,41,41.0,693.0,80047,0.083,1.0
2024-10-08,4.0,5056,41,41.0,693.0,80047,0.083,1.0
2024-10-09,4.0,110236,34,41.0,693.0,80047,0.5,6.0
2024-10-03,4.0,37768,72,41.0,693.0,80047,0.166,2.0
2024-10-04,4.0,3338,41,41.0,693.0,80047,0.5,6.0
2024-10-04,4.0,2480,41,41.0,693.0,80047,0.25,3.0
2024-10-15,4.0,103368,36,41.0,693.0,80047,1.0,12.0
2024-10-15,4.0,6446,41,41.0,693.0,80047,0.083,1.0
2024-10-18,5.0,147593,41,41.0,693.0,80047,0.083,1.0
2024-10-08,5.0,136615,41,41.0,693.0,80047,0.083,1.0
2024-10-18,6.0,151981,34,42.0,693.0,80047,0.166,2.0
2024-10-08,6.0,154552,39,42.0,693.0,80047,1.0,12.0
2024-10-03,6.0,150733,34,42.0,693.0,80047,0.5,6.0
2024-10-17,6.0,169742,39,42.0,693.0,80047,1.0,12.0
2024-10-02,4.0,169389,81,41.0,816.0,80047,0.333,2.0
2024-10-08,4.0,52594,72,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,51386,41,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,120395,41,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,122448,41,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,122557,41,41.0,816.0,80047,0.166,1.0
2024-10-10,4.0,110772,81,41.0,816.0,80047,0.833,5.0
2024-10-16,4.0,145633,72,41.0,816.0,80047,40.0,240.0
2024-10-18,6.0,167594,71,42.0,816.0,80047,0.0,1.0
2024-10-07,6.0,152374,39,42.0,816.0,80047,0.166,1.0
2024-10-11,6.0,151084,35,42.0,816.0,80047,3.0,18.0
2024-10-10,6.0,165898,34,42.0,816.0,80047,0.166,1.0
2024-10-07,3.0,157990,83,41.0,816.0,80047,1.0,6.0
2024-10-10,5.0,172378,81,41.0,816.0,80047,0.333,2.0
2024-10-10,3.0,120645,35,41.0,816.0,80047,0.166,1.0
2024-10-02,3.0,112684,53,41.0,816.0,80047,0.333,2.0
2024-10-02,7.0,140674,42,41.0,1399.0,80047,0.666,4.0
2024-10-07,4.0,4327,41,41.0,2805.0,80047,0.083,1.0
2024-10-07,4.0,4638,72,41.0,2805.0,80047,0.083,1.0
2024-10-07,4.0,37669,41,41.0,2805.0,80047,0.083,1.0
2024-10-02,4.0,180817,34,41.0,8815.0,80047,0.25,3.0
2024-10-16,7.0,171076,42,41.0,9636.0,80047,0.25,3.0
2024-10-17,7.0,180370,42,41.0,9636.0,80047,0.333,4.0
2024-10-17,5.0,136108,33,41.0,9636.0,80047,0.166,2.0
2024-10-08,5.0,152826,34,41.0,9636.0,80047,0.25,3.0
2024-10-10,3.0,175604,42,41.0,9636.0,80047,0.25,3.0
2024-10-10,3.0,176876,,41.0,9636.0,80047,0.166,2.0
2024-10-11,5.0,139239,24,41.0,9636.0,80047,0.25,3.0
2024-10-11,5.0,139003,41,41.0,9636.0,80047,0.25,3.0
2024-10-02,3.0,139505,41,41.0,9636.0,80047,1.0,12.0
2024-10-02,3.0,138864,34,41.0,9636.0,80047,0.5,6.0
2024-10-03,3.0,179309,39,41.0,9636.0,80047,0.25,3.0
2024-10-04,3.0,144217,72,41.0,9636.0,80047,0.25,3.0
2024-10-04,3.0,180301,41,41.0,9636.0,80047,0.166,2.0
2024-10-14,5.0,161792,81,41.0,9636.0,80047,0.083,1.0
2024-10-17,3.0,140431,41,41.0,9636.0,80047,0.333,4.0
2024-10-07,4.0,29409,41,41.0,9636.0,80047,0.083,1.0
2024-10-07,4.0,7427,41,41.0,9636.0,80047,0.083,1.0
2024-10-09,4.0,172906,41,41.0,9636.0,80047,0.166,2.0
2024-10-10,4.0,174206,41,41.0,9636.0,80047,0.083,1.0
2024-10-01,4.0,126766,41,41.0,9636.0,80047,0.083,1.0
2024-10-02,4.0,2228,41,41.0,9636.0,80047,0.166,2.0
2024-10-02,4.0,173961,39,41.0,9636.0,80047,0.166,2.0
2024-10-05,4.0,157141,72,41.0,9636.0,80047,1.0,12.0
2024-10-05,4.0,22072,41,41.0,9636.0,80047,0.083,1.0
2024-10-05,4.0,1618,41,41.0,9636.0,80047,0.083,1.0
2024-10-05,4.0,1774,41,41.0,9636.0,80047,0.083,1.0
2024-10-18,6.0,181063,34,42.0,9636.0,80047,0.083,1.0
2024-10-01,6.0,170275,34,42.0,9636.0,80047,0.083,1.0
2024-10-10,6.0,146274,72,42.0,9636.0,80047,0.083,1.0
2024-10-10,6.0,153899,35,42.0,9636.0,80047,0.083,1.0
2024-10-02,6.0,168594,34,42.0,9636.0,80047,0.083,1.0
2024-10-11,6.0,167903,35,42.0,9636.0,80047,0.083,1.0
2024-10-01,3.0,121258,23,41.0,9637.0,80047,1.0,12.0
2024-10-07,6.0,179814,96,42.0,9637.0,80047,0.5,6.0
2024-10-10,4.0,152252,96,41.0,10217.0,80047,3.0,3.0
2024-10-10,5.0,144670,41,41.0,423.0,80047,0.083,1.0
2024-10-07,4.0,5551,41,41.0,423.0,80047,0.083,1.0
2024-10-07,4.0,5812,41,41.0,423.0,80047,0.083,1.0
2024-10-07,4.0,6501,42,41.0,423.0,80047,0.083,1.0
2024-10-07,4.0,38999,41,41.0,423.0,80047,0.083,1.0
2024-10-09,4.0,113533,34,41.0,423.0,80047,0.083,1.0
2024-10-08,4.0,42960,41,41.0,423.0,80047,0.083,1.0
2024-10-02,6.0,176191,36,42.0,423.0,80047,0.5,6.0
2024-10-07,3.0,173784,36,41.0,423.0,80047,1.0,12.0
2024-10-08,3.0,131115,36,41.0,423.0,80047,1.0,12.0
2024-10-09,4.0,27904,34,41.0,657.0,80047,0.5,6.0
2024-10-02,4.0,5139,72,41.0,683.0,80047,0.083,1.0
2024-10-16,4.0,159611,72,41.0,683.0,80047,0.5,6.0
2024-10-18,6.0,175788,39,42.0,683.0,80047,0.083,1.0
2024-10-05,6.0,178239,39,42.0,683.0,80047,0.166,2.0
2024-10-15,6.0,160216,39,42.0,683.0,80047,0.083,1.0
2024-10-08,3.0,175269,81,41.0,683.0,80047,0.25,3.0
2024-10-18,4.0,120836,34,41.0,693.0,80047,0.333,4.0
2024-10-18,4.0,131789,35,41.0,693.0,80047,1.0,12.0
2024-10-19,4.0,2057,84,41.0,693.0,80047,0.5,6.0
2024-10-10,4.0,111419,34,41.0,693.0,80047,0.083,1.0
2024-10-03,6.0,179585,93,42.0,693.0,80047,0.5,6.0
2024-10-16,6.0,181117,23,42.0,693.0,80047,2.0,24.0
2024-10-09,4.0,138598,34,41.0,816.0,80047,0.5,3.0
2024-10-09,4.0,180909,34,41.0,816.0,80047,20.0,120.0
2024-10-08,4.0,110264,41,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,120141,42,41.0,816.0,80047,0.166,1.0
2024-10-08,4.0,51403,41,41.0,816.0,80047,0.166,1.0
2024-10-10,6.0,2789,72,42.0,816.0,80047,0.166,1.0
2024-10-10,6.0,163556,24,42.0,816.0,80047,0.166,1.0
2024-10-09,5.0,164824,34,41.0,816.0,80047,0.666,4.0
2024-10-07,7.0,175183,42,41.0,816.0,80047,1.0,6.0
2024-10-18,3.0,111704,53,41.0,1399.0,80047,0.5,3.0
2024-10-18,6.0,165895,34,42.0,2805.0,80047,0.0,2.0
2024-10-10,6.0,166453,24,42.0,2805.0,80047,0.083,1.0
2024-10-07,4.0,4005,72,41.0,2805.0,80047,0.083,1.0
2024-10-07,4.0,32451,41,41.0,2805.0,80047,0.083,1.0
2024-10-07,4.0,34041,41,41.0,2805.0,80047,0.083,1.0
2024-10-07,4.0,37894,41,41.0,2805.0,80047,0.083,1.0
2024-10-05,4.0,3752,41,41.0,2805.0,80047,0.083,1.0
2024-10-04,4.0,159367,36,41.0,8815.0,80047,5.0,60.0
2024-10-01,3.0,118006,41,41.0,9636.0,80047,0.25,3.0
2024-10-01,3.0,166623,24,41.0,9636.0,80047,0.333,4.0
2024-10-08,5.0,117964,84,41.0,9636.0,80047,0.083,1.0
2024-10-10,5.0,94,35,41.0,9636.0,80047,0.75,9.0
2024-10-10,5.0,115306,84,41.0,9636.0,80047,0.083,1.0
2024-10-10,3.0,166742,36,41.0,9636.0,80047,0.416,5.0
2024-10-03,3.0,139998,72,41.0,9636.0,80047,0.083,1.0
2024-10-04,3.0,116145,81,41.0,9636.0,80047,0.083,1.0
2024-10-04,5.0,180306,24,41.0,9636.0,80047,0.0,2.0
2024-10-14,3.0,159118,24,41.0,9636.0,80047,0.25,3.0
2024-10-16,3.0,112684,53,41.0,9636.0,80047,0.25,3.0
2024-10-17,4.0,8657,72,41.0,9636.0,80047,5.0,60.0
2024-10-18,4.0,165226,72,41.0,9636.0,80047,0.25,3.0
2024-10-07,4.0,3222,41,41.0,9636.0,80047,0.083,1.0
2024-10-09,4.0,127168,81,41.0,9636.0,80047,0.166,2.0
2024-10-09,4.0,127980,41,41.0,9636.0,80047,0.0,1.0
2024-10-08,4.0,7815,41,41.0,9636.0,80047,0.083,1.0
2024-10-10,4.0,111402,91,41.0,9636.0,80047,0.166,2.0
2024-10-15,4.0,2767,41,41.0,9636.0,80047,0.166,2.0
2024-10-01,4.0,108573,24,41.0,9636.0,80047,0.166,2.0
2024-10-04,4.0,172891,,41.0,9636.0,80047,0.166,2.0
2024-10-04,4.0,30013,72,41.0,9636.0,80047,1.0,12.0
2024-10-05,4.0,53950,81,41.0,9636.0,80047,0.166,2.0
2024-10-04,4.0,20181,41,41.0,9636.0,80047,0.083,1.0
2024-10-04,4.0,20558,41,41.0,9636.0,80047,0.083,1.0
2024-10-04,4.0,192,41,41.0,9636.0,80047,0.083,1.0
2024-10-05,4.0,22079,41,41.0,9636.0,80047,0.083,1.0
2024-10-05,4.0,2228,41,41.0,9636.0,80047,0.083,1.0
2024-10-05,4.0,3456,41,41.0,9636.0,80047,0.083,1.0
2024-10-18,6.0,180757,41,42.0,9636.0,80047,0.083,1.0
2024-10-11,6.0,155445,33,42.0,9636.0,80047,0.083,1.0
2024-10-03,6.0,4823,39,42.0,9636.0,80047,10.0,120.0
2024-10-10,3.0,126064,35,41.0,9637.0,80047,2.0,24.0
